model,scenario,timestamp,gpu_exp,success,final_score,driving_mile,complete_percentage,driving_time,decision_time,comfort_score,efficiency_score,safety_score,red_light_penalty,speed_limit_penalty,fail_penalty,exp_dir
Limsimtm,straight,20250109_003211,gpu2_exp6,True,56.63,341.933,100.0,38.0,0.08259646956985062,0.213,0.232,0.5,1.0,0.599,1.0,Limsimtm_straight_20250109_003211_gpu2_exp6
interfuser,curve,20250110_003814,gpu2_exp6,True,87.339,247.67,100.0,30.6,0.10329094402125624,0.179,0.194,0.5,1.0,1.0,1.0,interfuser_curve_20250110_003814_gpu2_exp6
Limsimtm,long,term_20250108,225630_gpu3_exp8,False,8.185,163.381,16.289,18.1,0.08112055725521511,0.21,0.189,0.5,1.0,0.932,0.6,Limsimtm_long_term_20250108_225630_gpu3_exp8
PDM,long,term_20250108,225630_gpu0_exp2,True,73.997,1002.987,100.0,133.1,0.015565874522789977,0.137,0.214,0.498,1.0,0.871,1.0,PDM_long_term_20250108_225630_gpu0_exp2
PDM,intersection,20250109_003211,gpu3_exp10,True,73.527,103.422,100.0,17.0,0.013733829972306651,0.179,0.176,0.5,1.0,0.86,1.0,PDM_intersection_20250109_003211_gpu3_exp10
PDM,long,term_20250108,225630_gpu0_exp1,False,17.302,450.961,44.962,78.5,0.017343412248455748,0.164,0.219,0.334,1.0,0.894,0.6,PDM_long_term_20250108_225630_gpu0_exp1
PDM,straight,20250109_003211,gpu1_exp5,True,42.298,341.933,100.0,33.9,0.015550267696380616,0.137,0.229,0.498,1.0,0.49,1.0,PDM_straight_20250109_003211_gpu1_exp5
interfuser,long,term_20250110,003814_gpu1_exp4,False,4.799,177.267,17.674,27.1,0.10137437537864402,0.136,0.169,0.5,0.7,0.803,0.6,interfuser_long_term_20250110_003814_gpu1_exp4
Limsimtm,ramp,20250109_003211,gpu3_exp8,False,28.528,134.538,69.807,21.0,0.1837405562400818,0.181,0.239,0.262,1.0,1.0,0.6,Limsimtm_ramp_20250109_003211_gpu3_exp8
VLMagentCloseLoop,roundabout,20250109_003211,gpu1_exp5,True,85.326,147.008,100.0,22.4,12.128436122621808,0.134,0.219,0.5,1.0,1.0,1.0,VLMagentCloseLoop_roundabout_20250109_003211_gpu1_exp5
PDM,curve,20250109_003211,gpu3_exp10,True,69.615,247.67,100.0,24.5,0.015713590090392065,0.13,0.221,0.5,1.0,0.818,1.0,PDM_curve_20250109_003211_gpu3_exp10
Limsimtm,curve,20250109_003211,gpu3_exp9,True,92.592,247.67,100.0,27.8,0.06955669544361255,0.217,0.209,0.5,1.0,1.0,1.0,Limsimtm_curve_20250109_003211_gpu3_exp9
PDM,roundabout,20250109_003211,gpu0_exp1,True,27.551,147.008,100.0,9.3,0.023261308670043945,0.04,0.25,0.5,1.0,0.349,1.0,PDM_roundabout_20250109_003211_gpu0_exp1
interfuser,intersection,20250110_003814,gpu2_exp7,True,68.819,103.422,100.0,24.0,0.10711254933887944,0.173,0.088,0.5,1.0,0.905,1.0,interfuser_intersection_20250110_003814_gpu2_exp7
Limsimtm,curve,20250109_003211,gpu3_exp8,True,89.467,247.67,100.0,27.8,0.05622774583322031,0.214,0.18,0.5,1.0,1.0,1.0,Limsimtm_curve_20250109_003211_gpu3_exp8
PDM,curve,20250109_003211,gpu0_exp1,True,67.754,247.67,100.0,24.5,0.01877815508451618,0.122,0.249,0.5,1.0,0.778,1.0,PDM_curve_20250109_003211_gpu0_exp1
Limsimtm,long,term_20250108,225630_gpu3_exp10,True,88.401,1002.987,100.0,136.4,0.08870308013523326,0.2,0.207,0.478,1.0,1.0,1.0,Limsimtm_long_term_20250108_225630_gpu3_exp10
interfuser,roundabout,20250110_003814,gpu1_exp5,False,2.147,18.583,12.641,4.8,0.11466134862696871,0.082,0.23,0.5,1.0,0.349,0.6,interfuser_roundabout_20250110_003814_gpu1_exp5
Limsimtm,long,term_20250108,225630_gpu1_exp4,False,21.215,453.132,45.178,83.0,0.07813713317964135,0.187,0.227,0.422,1.0,0.936,0.6,Limsimtm_long_term_20250108_225630_gpu1_exp4
VLMagentCloseLoop,long,term_20250108,181109_gpu0_exp1,True,23.264,1002.987,100.0,133.0,14.586377806335916,0.184,0.146,0.488,0.343,0.83,1.0,VLMagentCloseLoop_long_term_20250108_181109_gpu0_exp1
PDM,ramp,20250109_003211,gpu1_exp4,True,72.504,192.728,100.0,31.4,0.012724873356925794,0.16,0.122,0.5,1.0,0.928,1.0,PDM_ramp_20250109_003211_gpu1_exp4
PDM,intersection,20250109_003211,gpu2_exp8,True,73.496,103.422,100.0,17.1,0.014699489930096794,0.18,0.174,0.5,1.0,0.86,1.0,PDM_intersection_20250109_003211_gpu2_exp8
VLMagentCloseLoop,roundabout,20250109_003211,gpu2_exp6,True,60.508,147.008,100.0,21.1,8.252810335159301,0.108,0.203,0.5,1.0,0.746,1.0,VLMagentCloseLoop_roundabout_20250109_003211_gpu2_exp6
Limsimtm,ramp,20250109_003211,gpu1_exp3,True,59.256,192.728,100.0,21.8,0.10484181131635394,0.181,0.168,0.498,0.7,1.0,1.0,Limsimtm_ramp_20250109_003211_gpu1_exp3
PDM,long,term_20250108,225630_gpu3_exp10,True,76.178,1002.987,100.0,223.6,0.017715117542002293,0.172,0.234,0.397,1.0,0.949,1.0,PDM_long_term_20250108_225630_gpu3_exp10
VLMagentCloseLoop,straight,20250109_003211,gpu3_exp10,True,60.565,341.933,100.0,44.9,8.948557365772336,0.193,0.189,0.5,1.0,0.686,1.0,VLMagentCloseLoop_straight_20250109_003211_gpu3_exp10
PDM,straight,20250109_003211,gpu3_exp10,True,42.896,341.933,100.0,34.0,0.014712532009698649,0.146,0.23,0.5,1.0,0.49,1.0,PDM_straight_20250109_003211_gpu3_exp10
interfuser,ramp,20250110_003814,gpu3_exp10,True,55.24,192.728,100.0,30.9,0.10367828994602352,0.154,0.135,0.5,0.7,1.0,1.0,interfuser_ramp_20250110_003814_gpu3_exp10
interfuser,intersection,20250110_003814,gpu2_exp6,True,69.848,103.422,100.0,24.5,0.1151869990786568,0.186,0.086,0.5,1.0,0.905,1.0,interfuser_intersection_20250110_003814_gpu2_exp6
Limsimtm,roundabout,20250109_003211,gpu3_exp9,True,83.261,147.008,100.0,18.0,0.04779279933256261,0.102,0.23,0.5,1.0,1.0,1.0,Limsimtm_roundabout_20250109_003211_gpu3_exp9
PDM,long,term_20250108,225630_gpu0_exp3,True,74.882,1002.987,100.0,133.1,0.016782300454333314,0.138,0.222,0.485,1.0,0.886,1.0,PDM_long_term_20250108_225630_gpu0_exp3
PDM,curve,20250109_003211,gpu3_exp9,True,63.65,247.67,100.0,24.6,0.01669307047007035,0.127,0.233,0.5,1.0,0.74,1.0,PDM_curve_20250109_003211_gpu3_exp9
VLMagentCloseLoop,intersection,20250109_003211,gpu3_exp10,True,75.324,103.422,100.0,24.6,11.751462853473166,0.22,0.072,0.5,1.0,0.951,1.0,VLMagentCloseLoop_intersection_20250109_003211_gpu3_exp10
PDM,intersection,20250109_003211,gpu2_exp7,True,74.002,103.422,100.0,17.1,0.014038691801183363,0.169,0.192,0.5,1.0,0.86,1.0,PDM_intersection_20250109_003211_gpu2_exp7
VLMagentCloseLoop,roundabout,20250109_003211,gpu0_exp2,True,65.95,147.008,100.0,23.0,9.133308342524938,0.143,0.179,0.493,1.0,0.81,1.0,VLMagentCloseLoop_roundabout_20250109_003211_gpu0_exp2
PDM,roundabout,20250109_003211,gpu2_exp6,True,27.691,147.008,100.0,9.3,0.02147358396778936,0.044,0.25,0.5,1.0,0.349,1.0,PDM_roundabout_20250109_003211_gpu2_exp6
Limsimtm,straight,20250109_003211,gpu1_exp4,True,56.97,341.933,100.0,38.1,0.11033595863141511,0.215,0.236,0.5,1.0,0.599,1.0,Limsimtm_straight_20250109_003211_gpu1_exp4
Limsimtm,roundabout,20250109_003211,gpu1_exp3,True,83.265,147.008,100.0,18.0,0.04747379527372472,0.102,0.23,0.5,1.0,1.0,1.0,Limsimtm_roundabout_20250109_003211_gpu1_exp3
Limsimtm,curve,20250109_003211,gpu2_exp7,True,91.075,247.67,100.0,27.8,0.060156133439805776,0.204,0.206,0.5,1.0,1.0,1.0,Limsimtm_curve_20250109_003211_gpu2_exp7
Limsimtm,intersection,20250109_003211,gpu3_exp9,True,86.9,103.422,100.0,20.5,0.03360437154769898,0.211,0.158,0.5,1.0,1.0,1.0,Limsimtm_intersection_20250109_003211_gpu3_exp9
PDM,roundabout,20250109_003211,gpu0_exp3,True,27.406,147.008,100.0,9.3,0.0223026094229325,0.036,0.25,0.5,1.0,0.349,1.0,PDM_roundabout_20250109_003211_gpu0_exp3
VLMagentCloseLoop,long,term_20250108,181109_gpu1_exp5,False,17.677,693.872,69.181,76.2,9.40689453125,0.178,0.158,0.5,0.7,0.728,0.6,VLMagentCloseLoop_long_term_20250108_181109_gpu1_exp5
VLMagentCloseLoop,straight,20250109_003211,gpu1_exp3,True,48.737,341.933,100.0,34.5,8.790305014812585,0.199,0.231,0.5,1.0,0.524,1.0,VLMagentCloseLoop_straight_20250109_003211_gpu1_exp3
Limsimtm,ramp,20250109_003211,gpu1_exp4,True,57.96,192.728,100.0,21.8,0.0915907451084682,0.165,0.163,0.5,0.7,1.0,1.0,Limsimtm_ramp_20250109_003211_gpu1_exp4
Limsimtm,ramp,20250109_003211,gpu3_exp10,True,60.049,192.728,100.0,21.8,0.09038273493448894,0.191,0.167,0.5,0.7,1.0,1.0,Limsimtm_ramp_20250109_003211_gpu3_exp10
VLMagentCloseLoop,long,term_20250108,181109_gpu2_exp9,True,36.558,1002.987,100.0,135.0,9.741956942063526,0.187,0.147,0.487,0.49,0.909,1.0,VLMagentCloseLoop_long_term_20250108_181109_gpu2_exp9
interfuser,ramp,20250110_003814,gpu2_exp8,True,47.685,192.728,100.0,26.0,0.15403023833933943,0.134,0.242,0.305,0.7,1.0,1.0,interfuser_ramp_20250110_003814_gpu2_exp8
interfuser,long,term_20250110,003814_gpu2_exp7,True,37.785,1002.987,100.0,142.1,0.10185794444151328,0.148,0.178,0.499,0.49,0.934,1.0,interfuser_long_term_20250110_003814_gpu2_exp7
interfuser,long,term_20250110,003814_gpu3_exp9,True,37.714,1002.987,100.0,232.2,0.10087635587998785,0.183,0.109,0.5,0.49,0.973,1.0,interfuser_long_term_20250110_003814_gpu3_exp9
interfuser,curve,20250110_003814,gpu1_exp5,True,91.706,247.67,100.0,30.7,0.10020512848897697,0.175,0.242,0.5,1.0,1.0,1.0,interfuser_curve_20250110_003814_gpu1_exp5
interfuser,curve,20250110_003814,gpu0_exp2,True,89.868,247.67,100.0,30.8,0.10533687501466235,0.178,0.221,0.5,1.0,1.0,1.0,interfuser_curve_20250110_003814_gpu0_exp2
VLMagentCloseLoop,ramp,20250109_003211,gpu1_exp4,True,49.114,192.728,100.0,24.9,9.215937220531961,0.16,0.15,0.5,0.7,0.866,1.0,VLMagentCloseLoop_ramp_20250109_003211_gpu1_exp4
interfuser,curve,20250110_003814,gpu3_exp8,True,85.113,247.67,100.0,30.6,0.10381432673970206,0.175,0.176,0.5,1.0,1.0,1.0,interfuser_curve_20250110_003814_gpu3_exp8
interfuser,intersection,20250110_003814,gpu0_exp1,True,68.718,103.422,100.0,23.5,0.11058818478869577,0.175,0.088,0.5,1.0,0.9,1.0,interfuser_intersection_20250110_003814_gpu0_exp1
PDM,roundabout,20250109_003211,gpu3_exp10,True,26.728,147.008,100.0,9.3,0.023009668225827423,0.017,0.25,0.5,1.0,0.349,1.0,PDM_roundabout_20250109_003211_gpu3_exp10
VLMagentCloseLoop,roundabout,20250109_003211,gpu3_exp10,True,77.163,147.008,100.0,21.5,9.350684213638306,0.122,0.197,0.5,1.0,0.943,1.0,VLMagentCloseLoop_roundabout_20250109_003211_gpu3_exp10
Limsimtm,roundabout,20250109_003211,gpu3_exp8,True,82.462,147.008,100.0,18.0,0.04721170313218061,0.094,0.23,0.5,1.0,1.0,1.0,Limsimtm_roundabout_20250109_003211_gpu3_exp8
Limsimtm,ramp,20250109_003211,gpu0_exp2,True,47.01,192.728,100.0,24.7,0.1941597561041514,0.172,0.242,0.258,0.7,1.0,1.0,Limsimtm_ramp_20250109_003211_gpu0_exp2
interfuser,long,term_20250110,003814_gpu2_exp6,True,38.677,1002.987,100.0,232.0,0.10980325528597616,0.184,0.158,0.496,0.49,0.942,1.0,interfuser_long_term_20250110_003814_gpu2_exp6
VLMagentCloseLoop,long,term_20250108,181109_gpu1_exp4,True,22.523,1002.987,100.0,133.6,14.837302780512607,0.182,0.135,0.5,0.343,0.803,1.0,VLMagentCloseLoop_long_term_20250108_181109_gpu1_exp4
PDM,long,term_20250108,225630_gpu2_exp8,True,74.306,1002.987,100.0,178.2,0.016483922275112695,0.169,0.213,0.431,1.0,0.914,1.0,PDM_long_term_20250108_225630_gpu2_exp8
Limsimtm,roundabout,20250109_003211,gpu1_exp5,True,54.182,147.008,100.0,18.1,0.05537941720750597,0.095,0.231,0.5,1.0,0.656,1.0,Limsimtm_roundabout_20250109_003211_gpu1_exp5
interfuser,long,term_20250110,003814_gpu1_exp3,True,38.438,1002.987,100.0,234.8,0.10804501045090521,0.186,0.126,0.498,0.49,0.969,1.0,interfuser_long_term_20250110_003814_gpu1_exp3
interfuser,intersection,20250110_003814,gpu2_exp8,True,62.216,103.422,100.0,24.0,0.10102789072810855,0.178,0.122,0.5,1.0,0.778,1.0,interfuser_intersection_20250110_003814_gpu2_exp8
Limsimtm,curve,20250109_003211,gpu3_exp10,True,89.732,247.67,100.0,27.8,0.05510636612221047,0.217,0.18,0.5,1.0,1.0,1.0,Limsimtm_curve_20250109_003211_gpu3_exp10
VLMagentCloseLoop,straight,20250109_003211,gpu3_exp9,True,60.972,341.933,100.0,42.0,8.698114442825318,0.199,0.215,0.5,1.0,0.667,1.0,VLMagentCloseLoop_straight_20250109_003211_gpu3_exp9
Limsimtm,straight,20250109_003211,gpu0_exp2,True,96.074,341.933,100.0,40.6,0.12461621761322021,0.234,0.236,0.49,1.0,1.0,1.0,Limsimtm_straight_20250109_003211_gpu0_exp2
Limsimtm,straight,20250109_003211,gpu2_exp7,True,96.138,341.933,100.0,41.4,0.1275970179860185,0.24,0.245,0.477,1.0,1.0,1.0,Limsimtm_straight_20250109_003211_gpu2_exp7
PDM,curve,20250109_003211,gpu0_exp3,True,62.466,247.67,100.0,24.6,0.015584457163908043,0.124,0.22,0.5,1.0,0.74,1.0,PDM_curve_20250109_003211_gpu0_exp3
interfuser,straight,20250110_003814,gpu1_exp4,True,57.245,341.933,100.0,43.1,0.11945484349893969,0.161,0.22,0.446,1.0,0.692,1.0,interfuser_straight_20250110_003814_gpu1_exp4
PDM,straight,20250109_003211,gpu2_exp7,True,40.716,341.933,100.0,34.8,0.017231228028662955,0.141,0.246,0.473,1.0,0.473,1.0,PDM_straight_20250109_003211_gpu2_exp7
PDM,ramp,20250109_003211,gpu3_exp9,True,71.946,192.728,100.0,33.5,0.014645079652706306,0.153,0.246,0.346,1.0,0.965,1.0,PDM_ramp_20250109_003211_gpu3_exp9
VLMagentCloseLoop,straight,20250109_003211,gpu0_exp2,True,64.725,341.933,100.0,42.3,9.670949877762213,0.213,0.206,0.5,1.0,0.704,1.0,VLMagentCloseLoop_straight_20250109_003211_gpu0_exp2
interfuser,curve,20250110_003814,gpu0_exp1,True,92.126,247.67,100.0,30.6,0.18359262435162654,0.176,0.245,0.5,1.0,1.0,1.0,interfuser_curve_20250110_003814_gpu0_exp1
PDM,long,term_20250108,225630_gpu2_exp7,False,14.462,348.289,34.725,41.6,0.016520019898931666,0.147,0.228,0.445,1.0,0.847,0.6,PDM_long_term_20250108_225630_gpu2_exp7
PDM,curve,20250109_003211,gpu2_exp6,True,64.435,247.67,100.0,24.5,0.016399901421343694,0.106,0.222,0.5,1.0,0.778,1.0,PDM_curve_20250109_003211_gpu2_exp6
Limsimtm,roundabout,20250109_003211,gpu2_exp7,True,83.127,147.008,100.0,18.0,0.060485306908102596,0.101,0.23,0.5,1.0,1.0,1.0,Limsimtm_roundabout_20250109_003211_gpu2_exp7
Limsimtm,long,term_20250108,225630_gpu0_exp1,True,81.5,1002.987,100.0,136.9,0.10477758155149572,0.176,0.208,0.464,1.0,0.961,1.0,Limsimtm_long_term_20250108_225630_gpu0_exp1
interfuser,long,term_20250110,003814_gpu0_exp1,True,36.704,1002.987,100.0,233.5,0.11030598890096996,0.185,0.136,0.456,0.49,0.964,1.0,interfuser_long_term_20250110_003814_gpu0_exp1
VLMagentCloseLoop,long,term_20250108,181109_gpu1_exp6,True,23.302,1002.987,100.0,134.8,9.521815830603577,0.178,0.133,0.5,0.343,0.838,1.0,VLMagentCloseLoop_long_term_20250108_181109_gpu1_exp6
interfuser,ramp,20250110_003814,gpu2_exp6,True,54.68,192.728,100.0,30.0,0.1067065993280315,0.145,0.136,0.5,0.7,1.0,1.0,interfuser_ramp_20250110_003814_gpu2_exp6
interfuser,straight,20250110_003814,gpu3_exp9,True,47.97,341.933,100.0,43.0,0.1284369127455847,0.166,0.243,0.494,1.0,0.531,1.0,interfuser_straight_20250110_003814_gpu3_exp9
Limsimtm,long,term_20250108,225630_gpu1_exp5,True,81.46,1002.987,100.0,140.6,0.08138988358633858,0.18,0.205,0.461,1.0,0.962,1.0,Limsimtm_long_term_20250108_225630_gpu1_exp5
interfuser,straight,20250110_003814,gpu1_exp3,True,45.922,341.933,100.0,42.5,0.10589846799958427,0.172,0.218,0.42,1.0,0.567,1.0,interfuser_straight_20250110_003814_gpu1_exp3
VLMagentCloseLoop,ramp,20250109_003211,gpu2_exp6,True,46.805,192.728,100.0,23.5,8.392402670600198,0.169,0.157,0.5,0.7,0.81,1.0,VLMagentCloseLoop_ramp_20250109_003211_gpu2_exp6
VLMagentCloseLoop,curve,20250109_003211,gpu1_exp4,True,85.787,247.67,100.0,34.8,9.214131738200333,0.173,0.189,0.495,1.0,1.0,1.0,VLMagentCloseLoop_curve_20250109_003211_gpu1_exp4
PDM,curve,20250109_003211,gpu2_exp7,True,51.143,247.67,100.0,24.3,0.016767143217985295,0.115,0.229,0.5,1.0,0.605,1.0,PDM_curve_20250109_003211_gpu2_exp7
VLMagentCloseLoop,intersection,20250109_003211,gpu0_exp3,True,76.307,103.422,100.0,25.8,17.839258780082066,0.228,0.072,0.5,1.0,0.953,1.0,VLMagentCloseLoop_intersection_20250109_003211_gpu0_exp3
VLMagentCloseLoop,curve,20250109_003211,gpu1_exp5,True,59.987,247.67,100.0,26.6,17.512400341033935,0.146,0.232,0.487,1.0,0.693,1.0,VLMagentCloseLoop_curve_20250109_003211_gpu1_exp5
Limsimtm,intersection,20250109_003211,gpu2_exp6,True,86.33,103.422,100.0,19.5,0.031399940189562346,0.211,0.152,0.5,1.0,1.0,1.0,Limsimtm_intersection_20250109_003211_gpu2_exp6
VLMagentCloseLoop,straight,20250109_003211,gpu1_exp5,True,40.365,341.933,100.0,28.7,13.668231063418919,0.21,0.228,0.5,1.0,0.43,1.0,VLMagentCloseLoop_straight_20250109_003211_gpu1_exp5
PDM,straight,20250109_003211,gpu0_exp2,True,40.308,341.933,100.0,34.0,0.017720079000017284,0.147,0.245,0.489,1.0,0.458,1.0,PDM_straight_20250109_003211_gpu0_exp2
VLMagentCloseLoop,intersection,20250109_003211,gpu2_exp7,True,74.973,103.422,100.0,25.5,8.096784830093384,0.217,0.069,0.5,1.0,0.953,1.0,VLMagentCloseLoop_intersection_20250109_003211_gpu2_exp7
PDM,roundabout,20250109_003211,gpu2_exp8,True,27.042,147.008,100.0,9.3,0.02286160769669906,0.026,0.25,0.5,1.0,0.349,1.0,PDM_roundabout_20250109_003211_gpu2_exp8
VLMagentCloseLoop,ramp,20250109_003211,gpu2_exp7,True,49.528,192.728,100.0,23.4,8.279519016092474,0.171,0.158,0.5,0.7,0.854,1.0,VLMagentCloseLoop_ramp_20250109_003211_gpu2_exp7
interfuser,ramp,20250110_003814,gpu0_exp2,False,14.126,61.384,31.85,6.7,0.18699279337218314,0.156,0.25,0.333,1.0,1.0,0.6,interfuser_ramp_20250110_003814_gpu0_exp2
Limsimtm,ramp,20250109_003211,gpu3_exp9,True,85.846,192.728,100.0,37.1,0.1286821816418622,0.185,0.24,0.433,1.0,1.0,1.0,Limsimtm_ramp_20250109_003211_gpu3_exp9
PDM,curve,20250109_003211,gpu1_exp5,True,77.702,247.67,100.0,24.5,0.018815423621505987,0.118,0.241,0.5,1.0,0.905,1.0,PDM_curve_20250109_003211_gpu1_exp5
Limsimtm,long,term_20250108,225630_gpu3_exp9,True,90.057,1002.987,100.0,136.4,0.08336323499679565,0.202,0.2,0.499,1.0,1.0,1.0,Limsimtm_long_term_20250108_225630_gpu3_exp9
Limsimtm,curve,20250109_003211,gpu0_exp1,True,91.824,247.67,100.0,27.8,0.06491150679411711,0.18,0.238,0.5,1.0,1.0,1.0,Limsimtm_curve_20250109_003211_gpu0_exp1
PDM,straight,20250109_003211,gpu2_exp8,True,43.356,341.933,100.0,33.9,0.016463183087004712,0.142,0.243,0.5,1.0,0.49,1.0,PDM_straight_20250109_003211_gpu2_exp8
interfuser,ramp,20250110_003814,gpu1_exp4,True,55.559,192.728,100.0,30.9,0.11230982433665883,0.159,0.135,0.5,0.7,1.0,1.0,interfuser_ramp_20250110_003814_gpu1_exp4
Limsimtm,curve,20250109_003211,gpu1_exp3,True,89.727,247.67,100.0,27.8,0.05399167979205096,0.217,0.18,0.5,1.0,1.0,1.0,Limsimtm_curve_20250109_003211_gpu1_exp3
PDM,straight,20250109_003211,gpu0_exp3,True,36.996,341.933,100.0,36.3,0.016522327180725434,0.139,0.242,0.366,1.0,0.495,1.0,PDM_straight_20250109_003211_gpu0_exp3
PDM,intersection,20250109_003211,gpu0_exp3,True,74.429,103.422,100.0,17.3,0.013389827207077381,0.175,0.19,0.5,1.0,0.86,1.0,PDM_intersection_20250109_003211_gpu0_exp3
interfuser,intersection,20250110_003814,gpu0_exp2,True,65.485,103.422,100.0,24.2,0.11122890231025664,0.176,0.085,0.5,1.0,0.86,1.0,interfuser_intersection_20250110_003814_gpu0_exp2
Limsimtm,straight,20250109_003211,gpu1_exp3,True,95.308,341.933,100.0,40.6,0.09271315932273864,0.239,0.226,0.488,1.0,1.0,1.0,Limsimtm_straight_20250109_003211_gpu1_exp3
Limsimtm,long,term_20250108,225630_gpu2_exp7,True,89.024,1002.987,100.0,182.3,0.09404458711435507,0.204,0.226,0.46,1.0,1.0,1.0,Limsimtm_long_term_20250108_225630_gpu2_exp7
PDM,ramp,20250109_003211,gpu1_exp6,True,75.313,192.728,100.0,31.3,0.012569156212684436,0.16,0.123,0.5,1.0,0.963,1.0,PDM_ramp_20250109_003211_gpu1_exp6
interfuser,curve,20250110_003814,gpu1_exp4,True,92.168,247.67,100.0,30.7,0.18144812693003737,0.177,0.245,0.5,1.0,1.0,1.0,interfuser_curve_20250110_003814_gpu1_exp4
Limsimtm,curve,20250109_003211,gpu1_exp4,True,94.983,247.67,100.0,27.8,0.06254597946449562,0.212,0.238,0.5,1.0,1.0,1.0,Limsimtm_curve_20250109_003211_gpu1_exp4
PDM,roundabout,20250109_003211,gpu1_exp4,True,27.238,147.008,100.0,9.3,0.019913538642551586,0.031,0.25,0.5,1.0,0.349,1.0,PDM_roundabout_20250109_003211_gpu1_exp4
PDM,ramp,20250109_003211,gpu1_exp5,True,70.189,192.728,100.0,33.4,0.014142358625257338,0.139,0.247,0.34,1.0,0.965,1.0,PDM_ramp_20250109_003211_gpu1_exp5
Limsimtm,intersection,20250109_003211,gpu2_exp7,True,86.241,103.422,100.0,19.5,0.03233623504638672,0.21,0.152,0.5,1.0,1.0,1.0,Limsimtm_intersection_20250109_003211_gpu2_exp7
interfuser,roundabout,20250110_003814,gpu2_exp8,False,8.157,26.475,18.009,4.9,0.11903261651798171,0.055,0.2,0.5,1.0,1.0,0.6,interfuser_roundabout_20250110_003814_gpu2_exp8
interfuser,straight,20250110_003814,gpu3_exp10,True,46.524,341.933,100.0,42.8,0.10403574769334994,0.157,0.209,0.5,1.0,0.537,1.0,interfuser_straight_20250110_003814_gpu3_exp10
interfuser,curve,20250110_003814,gpu2_exp7,True,90.473,247.67,100.0,30.7,0.1018191918828129,0.187,0.218,0.5,1.0,1.0,1.0,interfuser_curve_20250110_003814_gpu2_exp7
VLMagentCloseLoop,curve,20250109_003211,gpu3_exp9,True,49.343,247.67,100.0,26.3,9.285654878616333,0.167,0.195,0.493,1.0,0.577,1.0,VLMagentCloseLoop_curve_20250109_003211_gpu3_exp9
VLMagentCloseLoop,curve,20250109_003211,gpu2_exp6,True,81.58,247.67,100.0,33.8,9.032094590365887,0.174,0.16,0.482,1.0,1.0,1.0,VLMagentCloseLoop_curve_20250109_003211_gpu2_exp6
Limsimtm,curve,20250109_003211,gpu0_exp2,True,92.573,247.67,100.0,27.8,0.06153416633605957,0.217,0.209,0.5,1.0,1.0,1.0,Limsimtm_curve_20250109_003211_gpu0_exp2
VLMagentCloseLoop,long,term_20250108,181109_gpu3_exp10,True,49.074,1002.987,100.0,133.6,12.948644780751431,0.185,0.162,0.477,0.7,0.85,1.0,VLMagentCloseLoop_long_term_20250108_181109_gpu3_exp10
VLMagentCloseLoop,straight,20250109_003211,gpu2_exp6,True,59.042,341.933,100.0,42.3,8.951895126482336,0.184,0.201,0.5,1.0,0.667,1.0,VLMagentCloseLoop_straight_20250109_003211_gpu2_exp6
